Дисциплина,Направление,Потоков,Групп,Лекции,Cеминары,ПК,КР,ТК
Автоматизированные банковские системы,ФИТиАБД_ИБ(б-3+)_очная_6,2,5,16,156,41,0,31
"Автоматизированные системы бухгалтерского учета, анализа и аудита в коммерческих организациях",ИОО_ПИ(м-3++)_заочная_6,1,1,4,12,6,0,6
"Автоматизированные системы бухгалтерского учета, анализа и аудита в коммерческих организациях",ФИТиАБД_ИБ(б-3+)_очная_6,1,3,16,50,16,0,16
Алгебра и анализ,ИОО_ПИ(б-3++)_заочная_1,2,4,0,28,4,0,30
Алгебра и анализ,ИОО_ПИ(б-3++)_заочная_2,1,2,0,16,2,0,15
Алгебра и анализ,ФИТиАБД_ПИ(б-3++)_очная_1,2,8,32,300,70,0,60
Алгебра и анализ,ФИТиАБД_ПИ(б-3++)_очная_2,2,8,32,312,80,0,60
Алгебра и анализ,ФИТиАБД_ПИ(б-3++)_очно-заочная_1,1,4,16,76,40,0,30
Алгебра и анализ,ФИТиАБД_ПИ(б-3++)_очно-заочная_2,1,4,16,84,40,0,30
Алгебра и геометрия,ФИТиАБД_ПМиИ(б-3++)_очная_1,2,7,32,413,71,0,53
Алгоритмы и структуры данных в языке Python,ИОО_ПИ(б-3++)_заочная_2,2,4,0,32,4,0,30
Алгоритмы и структуры данных в языке Python,ИОО_ПИ(б-3++)_заочная_3,2,5,0,48,36,0,26
Алгоритмы и структуры данных в языке Python,ФИТиАБД_БИ(б-3++)_очная_1,3,11,0,605,83,0,83
Алгоритмы и структуры данных в языке Python,ФИТиАБД_БИ(б-3++)_очная_2,3,11,0,407,111,0,83
Алгоритмы и структуры данных в языке Python,ФИТиАБД_ИБ(б-3++)_очная_1,2,8,0,296,60,0,100
Алгоритмы и структуры данных в языке Python,ФИТиАБД_ИБ(б-3++)_очная_2,2,8,0,328,60,0,100
Алгоритмы и структуры данных в языке Python,ФИТиАБД_ПИ(б-3++)_очная_1,2,8,32,312,80,0,60
Алгоритмы и структуры данных в языке Python,ФИТиАБД_ПИ(б-3++)_очная_2,2,8,32,312,80,0,60
Алгоритмы и структуры данных в языке Python,ФИТиАБД_ПИ(б-3++)_очно-заочная_1,1,4,16,84,40,0,30
Алгоритмы и структуры данных в языке Python,ФИТиАБД_ПИ(б-3++)_очно-заочная_2,1,4,16,84,40,0,30
Алгоритмы и структуры данных в языке Python,ФИТиАБД_ПМиИ(б-3++)_очная_1,2,7,32,273,71,0,53
Алгоритмы и структуры данных в языке Python,ФИТиАБД_ПМиИ(б-3++)_очная_2,2,7,32,273,71,0,53
Алгоритмы и технологии анализа сложных сетей,ИОО_ПИ(м-3++)_заочная_6,1,1,4,12,6,0,6
Алгоритмы и технологии анализа сложных сетей,ФИТиАБД_ПИ(м-3++)_очная_5,1,1,8,31,5,0,5
Анализ прикладных систем,ИОО_ПИ(м-3++)_заочная_8,1,1,4,12,6,0,6
Архитектура компьютерных систем,ИОО_ПИ(б-3++)_заочная_5,1,2,0,32,20,0,14
Базы данных,ФВШУ_Инноватика(б-3++)_очная_1,1,2,16,82,15,0,0
Базы данных,ФВШУ_Инноватика(б-3++)_очная_2,1,2,16,76,21,0,15
Базы данных,ФИТиАБД_БИ(б-3+)_очная_3,3,11,48,370,83,0,138
Базы данных,ФИТиАБД_БИ(б-3+)_очная_4,3,11,0,680,109,0,0
Банковские информационные системы,ФИТиАБД_ПИ(б-3++)_очная_6,2,6,32,336,61,0,45
Блокчейн-платформы,ИОО_ПИ(м-3++)_заочная_7,1,1,4,12,6,0,6
Большие данные и машинное обучение,ФЭиБ_Экономика(м-3++)_очная_1,1,1,12,42,10,0,6
Большие данные и машинное обучение в социальной сфере,ФинФ_Экономика(б-3+)_очная_7,1,2,16,25,8,0,8
Бухгалтерские информационные системы,ФИТиАБД_ПИ(б-3++)_очная_5,2,6,32,126,61,0,45
Бухгалтерские информационные системы,ФИТиАБД_ПИ(б-3++)_очно-заочная_5,1,2,16,19,13,0,9
Бухгалтерские информационные системы,ФИТиАБД_ПМиИ(б-3++)_очная_3,2,6,32,174,44,0,44
Введение в науки о данных,ИОО_ПИ(м-3++)_заочная_1,1,2,0,32,2,0,10
Введение в науки о данных,ФИТиАБД_ПИ(м-3++)_очная_1,2,2,16,62,20,0,12
Введение в науки о данных,ФИТиАБД_ПМиИ(м-3++)_очная_1,2,2,16,70,19,0,11
Введение в специальность,ИОО_ПИ(б-3++)_заочная_2,1,2,0,5,2,0,0
Введение в специальность,ФИТиАБД_ПИ(б-3++)_очная_1,2,8,8,40,60,0,0
Введение в специальность,ФИТиАБД_ПИ(б-3++)_очно-заочная_1,1,4,4,12,30,0,0
Введение в специальность,ФИТиАБД_ПМиИ(б-3++)_очная_1,2,7,8,35,53,0,0
Веб-разработка,ФИТиАБД_ПИ(б-3++)_очная_4,2,8,32,273,58,0,58
Веб-разработка,ФИТиАБД_ПИ(б-3++)_очно-заочная_4,1,2,16,76,14,0,14
Высокопроизводительные вычисления,ИОО_ПИ(б-3++)_заочная_8,1,2,0,16,12,0,8
Дискретная математика,ИОО_ПИ(б-3++)_заочная_1,2,4,0,29,4,0,30
Дискретная математика,ИОО_ПИ(б-3++)_заочная_2,2,4,0,25,4,0,30
Дискретная математика,ФИТиАБД_ИБ(б-3++)_очная_3,2,7,68,287,70,0,52
